recipe,meal,status,issues,ingredients
Тост с творогом и кабачком,Перекус,approved,,"Хлеб цельнозерновой, Творог 5%, Кабачок, Помидоры, Соль, Чёрный перец, Укроп"
Хумус с огурцом и кабачком,Перекус,approved,,"Хумус, Огурцы, Кабачок"
Мини-омлет с брокколи,Перекус,approved,,"Яйца, Брокколи, Моцарелла"
Смузи клубникой-йогурт,Перекус,approved,,"Клубника, Греческий йогурт 2%, Банан"
Ореховый перекус с грушейм,Перекус,approved,,"Груша, Грецкие орехи"
Индейка с овощами на сковороде,Ужин,approved,,"Индейка, Кабачок, Перец, Брокколи, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Тофу с цветной капустой,Ужин,approved,,"Тофу, Цветная капуста, Шпинат, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок"
Курица с брокколи,Ужин,approved,,"Курица, Брокколи, Кабачок, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Курица с бататом,Ужин,approved,,"Курица, Батат, Салат, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Индейка с баклажаном и булгуром,Ужин,approved,,"Индейка, Баклажан, Булгур, Греческий йогурт 2%, Чеснок, Лимон, Петрушка, Соль, Чёрный перец"
Лосось с зелёной фасолью,Ужин,approved,,"Лосось свежий, Зелёная фасоль, Салат, Лимон, Оливковое масло, Чёрный перец, Соль"
Треска с бататом,Ужин,approved,,"Треска, Батат, Шпинат, Лимон, Оливковое масло, Чёрный перец, Соль"
Треска с зелёной фасолью,Ужин,approved,,"Треска, Зелёная фасоль, Картофель, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Лосось с цветной капустой,Ужин,approved,,"Лосось свежий, Цветная капуста, Шпинат, Лимон, Оливковое масло, Чёрный перец, Соль"
Креветки с баклажаном,Ужин,approved,,"Креветки сырые, Баклажан, Перец, Шпинат, Лимон, Оливковое масло, Чёрный перец, Соль"
Креветки с зелёной фасолью,Ужин,approved,,"Креветки сырые, Зелёная фасоль, Помидоры, Оливковое масло, Лимон, Чёрный перец, Соль"
"Фриттата с брокколи, фетой и помидорами",Ужин,approved,,"Яйца, Брокколи, Фета, Помидоры, Оливковое масло, Соль, Чёрный перец"
Тофу с зелёной фасолью,Ужин,approved,,"Тофу, Зелёная фасоль, Перец, Оливковое масло, Соевый соус, Имбирь, Чеснок"
Нут с зелёной фасолью,Ужин,approved,,"Нут готовый, Зелёная фасоль, Помидоры, Греческий йогурт 2%, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Тёплый салат с тофу,Ужин,approved,,"Тофу, Салат, Помидоры, Огурцы, Авокадо, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Тёплый салат с курицей и свёклой,Ужин,approved,,"Курица, Салат, Свёкла, Огурцы, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Запечённый бататом с творогом и зеленью,Ужин,approved,,"Батат, Творог 5%, Огурцы, Салат, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец"
Баклажан с курицей,Ужин,approved,,"Баклажан, Курица, Помидоры, Моцарелла, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Кабачок с тофу и сыром,Ужин,approved,,"Кабачок, Тофу, Грюйер, Помидоры, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Кабачком с фасолью и киноа,Ужин,approved,,"Кабачок, Фасоль готовая, Киноа, Помидоры, Тахини, Лимон, Чеснок, Соль, Чёрный перец"
Гречка с тофу и брокколи,Ужин,approved,,"Гречка, Тофу, Брокколи, Помидоры, Соевый соус, Имбирь, Чеснок, Лайм"
Кускус с креветками,Ужин,approved,,"Кускус, Креветки сырые, Кабачок, Помидоры, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Киноа с тунцом,Ужин,approved,,"Киноа, Тунец консервированный в собственном соку, Огурцы, Помидоры, Лимон, Оливковое масло, Чёрный перец"
Паста с тунцом и брокколи,Ужин,approved,,"Макароны цельнозерновые, Тунец консервированный в собственном соку, Брокколи, Помидоры, Лимон, Оливковое масло, Чёрный перец, Томатная паста, Чеснок, Базилик, Соль"
Омлет с индейкой и кабачком,Завтрак,approved,,"Яйца, Индейка, Кабачок, Соль, Чёрный перец, Оливковое масло, Чеснок, Соевый соус, Имбирь"
Скрэмбл с форелью и шпинатом,Завтрак,approved,,"Яйца, Форель, Шпинат, Соль, Чёрный перец, Оливковое масло, Лимон"
Тофу с рисом и брокколи,Обед,approved,,"Тофу, Рис, Брокколи, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Индейка с гречкой и кабачком,Обед,approved,,"Индейка, Гречка, Кабачок, Помидоры, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Греческий йогурт 2%, Укроп"
Индейка с булгуром и перцем,Обед,approved,,"Индейка, Булгур, Перец, Шпинат, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец, Соевый соус, Имбирь"
Индейка с киноа и авокадо,Обед,approved,,"Индейка, Киноа, Авокадо, Огурцы, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Индейка с перловкой и овощами,Обед,approved,,"Индейка, Перловка, Перец, Огурцы, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Индейка с киноаом,Обед,approved,,"Индейка, Киноа, Кабачок, Помидоры, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец"
Индейка с булгуром,Обед,approved,,"Индейка, Булгур, Перец, Шпинат, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Говядина с перловкой и свёклой,Обед,approved,,"Говядина, Перловка, Свёкла, Огурцы, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок, Уксус винный"
Треска с киноа и авокадо,Обед,approved,,"Треска, Киноа, Авокадо, Огурцы, Лимон, Оливковое масло, Чёрный перец, Соль"
Форель с картофелем и зелёной фасолью,Обед,approved,,"Форель, Картофель, Зелёная фасоль, Лимон, Оливковое масло, Укроп, Соль, Чёрный перец"
Лосось с рисом и овощами,Обед,approved,,"Лосось свежий, Рис, Кабачок, Перец, Лимон, Оливковое масло, Чёрный перец, Соль, Укроп"
Треска с бататом и цветной капустой,Обед,approved,,"Треска, Батат, Цветная капуста, Лимон, Оливковое масло, Петрушка, Соль, Чёрный перец"
Креветки с рисом и зелёной фасолью,Обед,approved,,"Креветки сырые, Рис, Зелёная фасоль, Оливковое масло, Лимон, Чёрный перец, Соль, Укроп"
Тофу с перловкой и брокколи,Обед,approved,,"Тофу, Перловка, Брокколи, Перец, Соевый соус, Имбирь, Чеснок"
Паста с индейкой и шпинатом,Обед,approved,,"Индейка, Макароны цельнозерновые, Шпинат, Помидоры, Томатная паста, Чеснок, Базилик, Оливковое масло, Соль, Чёрный перец"
Паста с индейкой и баклажаном,Обед,approved,,"Индейка, Макароны цельнозерновые, Баклажан, Помидоры, Томатная паста, Чеснок, Базилик, Оливковое масло, Соль, Чёрный перец"
Булгур с индейкой и овощами,Обед,approved,,"Индейка, Булгур, Баклажан, Перец, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Кускус с индейкой и овощами,Обед,approved,,"Индейка, Кускус, Огурцы, Помидоры, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль, Чёрный перец"
Батат с индейкой и авокадо,Обед,approved,,"Батат, Индейка, Авокадо, Салат, Уксус бальзамический, Оливковое масло, Горчица, Соль, Чёрный перец, Чеснок"
Тофу с овощами на сковороде,Ужин,approved,,"Тофу, Кабачок, Перец, Брокколи, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Индейка с цветной капустой,Ужин,approved,,"Индейка, Цветная капуста, Шпинат, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок"
Индейка с зелёной фасолью,Ужин,approved,,"Индейка, Зелёная фасоль, Кабачок, Оливковое масло, Горчица, Мёд, Лимон, Соль, Чёрный перец, Чеснок, Соевый соус, Имбирь"
Форель с брокколи,Ужин,approved,,"Форель, Брокколи, Салат, Лимон, Оливковое масло, Чёрный перец, Соль"
Форель с бататом,Ужин,approved,,"Форель, Батат, Шпинат, Лимон, Оливковое масло, Чёрный перец, Соль"
Форель с булгуром и брокколи,Ужин,approved,,"Форель, Булгур, Брокколи, Лимон, Оливковое масло, Укроп, Соль, Чёрный перец"
Кабачок с индейкой и сыром,Ужин,approved,,"Кабачок, Индейка, Грюйер, Помидоры, Горчица, Мёд, Лимон, Оливковое масло, Соль, Чёрный перец, Чеснок"
Перловка с тофу и шпинатом,Ужин,approved,,"Перловка, Тофу, Шпинат, Помидоры, Соевый соус, Имбирь, Чеснок, Лайм"
"Йогурт с бананом, чиа и миндалём",Завтрак,approved,,"Греческий йогурт 2%, Банан, Семена чиа, Миндаль"
"Йогурт с клубникой, овсянкой и миндалём",Завтрак,approved,,"Греческий йогурт 2%, Клубника, Овсянка, Миндаль"
Овсянка с вишней и грецкими орехами,Завтрак,approved,,"Овсянка, Молоко 3,2%, Вишня, Грецкие орехи, Соль"
Овсянка с грушей и миндалём,Завтрак,approved,,"Овсянка, Молоко 3,2%, Груша, Миндаль, Соль"
"Омлет с фетой, шпинатом и помидорами",Завтрак,approved,,"Яйца, Фета, Шпинат, Помидоры, Оливковое масло, Соль, Чёрный перец"
"Омлет с моцареллой, помидорами и базиликом",Завтрак,approved,,"Яйца, Моцарелла, Помидоры, Базилик, Оливковое масло, Соль"
"Тост с авокадо, яйцом и помидорами",Завтрак,approved,,"Хлеб цельнозерновой, Авокадо, Яйца, Помидоры, Лимон, Соль, Чёрный перец"
Творог с бананом и грецкими орехами,Завтрак,approved,,"Творог 5%, Банан, Грецкие орехи"
Греческий йогурт с манго и фисташками,Завтрак,approved,,"Греческий йогурт 2%, Манго, Фисташки"
"Киноа-боул с курицей, авокадо и томатами",Обед,approved,,"Курица, Киноа, Авокадо, Помидоры, Лимон, Оливковое масло, Соль, Чёрный перец"
"Булгур с индейкой, кабачком и йогуртовым соусом",Обед,approved,,"Индейка, Булгур, Кабачок, Греческий йогурт 2%, Чеснок, Лимон, Укроп, Соль"
"Кускус с курицей, перцем и лимонной заправкой",Обед,approved,,"Курица, Кускус, Перец, Лимон, Оливковое масло, Петрушка, Соль"
"Рис с индейкой, брокколи и соево-имбирным соусом",Обед,approved,,"Индейка, Рис, Брокколи, Соевый соус, Имбирь, Чеснок"
"Говядина с рисом, перцем и имбирём",Обед,approved,,"Говядина, Рис, Перец, Соевый соус, Имбирь, Чеснок"
"Тофу с киноа, брокколи и тахини",Обед,approved,,"Тофу, Киноа, Брокколи, Тахини, Лимон, Чеснок"
"Чечевица с булгуром, томатами и петрушкой",Обед,approved,,"Чечевица готовая, Булгур, Помидоры, Петрушка, Лимон, Оливковое масло"
"Нут с кускусом, перцем и тахини",Обед,approved,,"Нут готовый, Кускус, Перец, Тахини, Лимон, Чеснок"
Паста с курицей и томатно-базиликовым соусом,Обед,approved,,"Курица, Макароны цельнозерновые, Томатная паста, Помидоры, Чеснок, Базилик, Оливковое масло"
Паста с консервированным тунцом и томатами,Обед,approved,,"Тунец консервированный в собственном соку, Макароны цельнозерновые, Томатная паста, Помидоры, Чеснок, Базилик, Оливковое масло"
Лосось с киноа и зелёной фасолью,Ужин,approved,,"Лосось свежий, Киноа, Зелёная фасоль, Лимон, Оливковое масло, Укроп"
Треска с картофелем и лимонно-укропной заправкой,Ужин,approved,,"Треска, Картофель, Огурцы, Лимон, Оливковое масло, Укроп"
Форель с кускусом и брокколи,Ужин,approved,,"Форель, Кускус, Брокколи, Лимон, Оливковое масло, Укроп, Соль, Чёрный перец"
Креветки с рисом и кабачком в соево-имбирном соусе,Ужин,approved,,"Креветки сырые, Рис, Кабачок, Соевый соус, Имбирь, Чеснок"
Свинина с гречкой и горчичным соусом,Ужин,approved,,"Свинина постная, Гречка, Зелёная фасоль, Горчица, Уксус винный, Оливковое масло"
"Тёплый салат с курицей, свёклой и фетой",Ужин,approved,,"Курица, Свёкла, Салат, Фета, Уксус бальзамический, Оливковое масло, Горчица"
"Салат с консервированным тунцом, яйцом и картофелем",Ужин,approved,,"Тунец консервированный в собственном соку, Яйца, Картофель, Салат, Помидоры, Горчица, Лимон, Оливковое масло"
Запечённый батат с нутом и тахини,Ужин,approved,,"Батат, Нут готовый, Шпинат, Тахини, Лимон, Чеснок"
Тофу с баклажаном и рисом в соевом соусе,Ужин,approved,,"Тофу, Баклажан, Рис, Соевый соус, Имбирь, Чеснок"
"Киноа с чечевицей, огурцом и лимонной заправкой",Ужин,approved,,"Киноа, Чечевица готовая, Огурцы, Помидоры, Лимон, Оливковое масло, Петрушка"
Творог с малиной и миндалём,Перекус,approved,,"Творог 5%, Малина, Миндаль"
"Тост с хумусом, огурцом и перцем",Перекус,approved,,"Хлеб цельнозерновой, Хумус, Огурцы, Перец, Чёрный перец"
Кефир с бананом и льном,Перекус,approved,,"Кефир 2,5%, Банан, Семена льна"
Рикотта с клубникой и мёдом,Перекус,approved,,"Рикотта, Клубника, Мёд"
Йогурт с яблоком и грецкими орехами,Перекус,approved,,"Греческий йогурт 2%, Яблоко, Грецкие орехи"
Авокадо-тост с помидорами,Перекус,approved,,"Хлеб цельнозерновой, Авокадо, Помидоры, Лимон, Соль, Чёрный перец"
Скумбрия с картофелем и огуречным салатом,Ужин,approved,,"Скумбрия, Картофель, Огурцы, Греческий йогурт 2%, Укроп, Лимон"
"Индейка с перловкой, кабачком и шпинатом",Обед,approved,,"Индейка, Перловка, Кабачок, Шпинат, Греческий йогурт 2%, Чеснок"
Творог с клубникой и грецкими орехами,Перекус,approved,,"Творог 5%, Клубника, Грецкие орехи"
Кефир с черникой и чиа,Перекус,approved,,"Кефир 2,5%, Черника, Семена чиа"
Омлет с брокколи и чеддером,Завтрак,approved,,"Яйца, Брокколи, Чеддер, Оливковое масло, Соль, Чёрный перец"
Курица с гречкой и зелёной фасолью,Обед,approved,,"Курица, Гречка, Зелёная фасоль, Греческий йогурт 2%, Чеснок, Укроп"
Треска с киноа и кабачком,Ужин,approved,,"Треска, Киноа, Кабачок, Лимон, Оливковое масло, Петрушка"
Кускус с консервированным тунцом и огурцом,Обед,approved,,"Кускус, Тунец консервированный в собственном соку, Огурцы, Помидоры, Лимон, Оливковое масло"
Булгур быстрого приготовления с нутом и томатами,Обед,approved,,"Булгур, Нут готовый, Помидоры, Огурцы, Лимон, Оливковое масло"
Омлет с помидорами и фетой за 10 минут,Ужин,approved,,"Яйца, Помидоры, Фета, Шпинат, Оливковое масло, Соль, Чёрный перец"
Тофу с кабачком и соевым соусом,Ужин,approved,,"Тофу, Кабачок, Соевый соус, Имбирь, Чеснок, Оливковое масло"
Креветки с кускусом и лимоном,Ужин,approved,,"Креветки сырые, Кускус, Огурцы, Лимон, Оливковое масло, Петрушка"
Тёплый боул с фасолью и рисом,Обед,approved,,"Фасоль готовая, Рис, Помидоры, Авокадо, Лимон"
Тост с консервированным тунцом и авокадо,Обед,approved,,"Хлеб цельнозерновой, Тунец консервированный в собственном соку, Авокадо, Помидоры, Лимон, Чёрный перец"
Тёплый кускус с чечевицей и шпинатом,Ужин,approved,,"Кускус, Чечевица готовая, Шпинат, Помидоры, Лимон, Оливковое масло"
Гречка с яйцом и шпинатом,Обед,approved,,"Гречка, Яйца, Шпинат, Помидоры, Оливковое масло, Соль"
Картофель с фасолью и томатным соусом,Обед,approved,,"Картофель, Фасоль готовая, Томатная паста, Помидоры, Чеснок, Петрушка"
Чечевица с рисом и морковью,Обед,approved,,"Чечевица готовая, Рис, Морковь, Помидоры, Чеснок, Сушёные травы"
Омлет с картофелем и шпинатом,Ужин,approved,,"Яйца, Картофель, Шпинат, Оливковое масло, Соль, Чёрный перец"
Булгур с чечевицей и морковью,Ужин,approved,,"Булгур, Чечевица готовая, Морковь, Помидоры, Лимон, Оливковое масло"
Рис с фасолью и перцем,Ужин,approved,,"Рис, Фасоль готовая, Перец, Помидоры, Чеснок"
"Овсянка с бананом, льном и сливочным маслом",Завтрак,approved,,"Овсянка, Банан, Семена льна, Сливочное масло, Соль"
Овсянка с яблоком и семенами льна,Завтрак,approved,,"Овсянка, Яблоко, Семена льна, Соль"
Рис с курицей и морковью,Обед,approved,,"Курица, Рис, Морковь, Помидоры, Чеснок, Соль"
Индейка с гречкой и морковью,Обед,approved,,"Индейка, Гречка, Морковь, Кабачок, Оливковое масло, Соль"
Треска с картофелем и морковью,Ужин,approved,,"Треска, Картофель, Морковь, Лимон, Оливковое масло"
Курица с булгуром и кабачком,Ужин,approved,,"Курица, Булгур, Кабачок, Помидоры, Чеснок, Оливковое масло"
Рисовая каша с бананом на воде,Завтрак,approved,,"Рис, Банан, Соль"
Омлет с кабачком и помидорами,Завтрак,approved,,"Яйца, Кабачок, Помидоры, Оливковое масло, Соль"
Курица с рисом и кабачком,Обед,approved,,"Курица, Рис, Кабачок, Морковь, Оливковое масло, Соль"
Индейка с картофелем и кабачком,Обед,approved,,"Индейка, Картофель, Кабачок, Оливковое масло, Соль"
Треска с рисом и морковью,Ужин,approved,,"Треска, Рис, Морковь, Кабачок, Оливковое масло, Соль"
Курица с картофелем и шпинатом,Ужин,approved,,"Курица, Картофель, Шпинат, Оливковое масло, Соль"
Тост с яичным салатом и огурцом,Перекус,approved,,"Хлеб цельнозерновой, Яйца, Огурцы, Греческий йогурт 2%, Горчица, Укроп, Соль, Чёрный перец"
Рисовая каша с бананом и черникой,Завтрак,approved,,"Рис, Молоко 3,2%, Банан, Черника, Сливочное масло, Соль"
Тост с яйцом и авокадо,Завтрак,approved,,"Хлеб цельнозерновой, Яйца, Авокадо, Помидоры, Соль, Чёрный перец"
Овсянка с бананом и семенами льна,Завтрак,approved,,"Овсянка, Банан, Семена льна, Соль"
Яичный тост с огурцом,Завтрак,approved,,"Хлеб цельнозерновой, Яйца, Огурцы, Соль"
Кускус с яйцом и помидорами,Обед,approved,,"Кускус, Яйца, Помидоры, Огурцы, Оливковое масло"
"Тост с хумусом, яйцом и огурцом",Обед,approved,,"Хлеб цельнозерновой, Хумус, Яйца, Огурцы"
Салат с консервированным тунцом и кускусом,Обед,approved,,"Тунец консервированный в собственном соку, Кускус, Помидоры, Огурцы, Лимон, Оливковое масло"
Тёплый рис с яйцом и шпинатом,Обед,approved,,"Рис, Яйца, Шпинат, Помидоры, Соевый соус"
Яичница с помидорами и шпинатом,Ужин,approved,,"Яйца, Помидоры, Шпинат, Оливковое масло, Соль"
Тофу с помидорами и шпинатом,Ужин,approved,,"Тофу, Помидоры, Шпинат, Соевый соус, Чеснок"
Консервированный тунец с картофелем и огурцом,Ужин,approved,,"Тунец консервированный в собственном соку, Картофель, Огурцы, Лимон, Оливковое масло"
Кускус с тофу и огурцом,Ужин,approved,,"Кускус, Тофу, Огурцы, Помидоры, Соевый соус"
Булгур с индейкой и кабачком,Ужин,approved,,"Индейка, Булгур, Кабачок, Морковь, Оливковое масло, Соль"
Гречка с курицей и грибами,Ужин,approved,,"Курица, Гречка, Шампиньоны, Морковь, Лук, Оливковое масло"
Рис с индейкой и овощами,Ужин,approved,,"Индейка, Рис, Перец, Морковь, Помидоры"
Чечевица с томатами и шпинатом,Ужин,approved,,"Чечевица готовая, Помидоры, Шпинат, Морковь, Оливковое масло"
Киноа с курицей и брокколи,Ужин,approved,,"Курица, Киноа, Брокколи, Морковь"
Перловка с индейкой и грибами,Ужин,approved,,"Индейка, Перловка, Шампиньоны, Морковь, Лук"
Рис с тофу и овощами,Ужин,approved,,"Тофу, Рис, Перец, Кабачок, Соевый соус"
Гречка с чечевицей и морковью,Ужин,approved,,"Гречка, Чечевица готовая, Морковь, Помидоры"
Булгур с нутом и томатами,Ужин,approved,,"Булгур, Нут готовый, Помидоры, Морковь, Петрушка"
Киноа с тофу и шпинатом,Ужин,approved,,"Киноа, Тофу, Шпинат, Помидоры, Соевый соус"
Рис с курицей и тыквой,Ужин,approved,,"Рис, Курица, Тыква, Морковь"
Чечевица с индейкой и овощами,Ужин,approved,,"Чечевица готовая, Индейка, Помидоры, Морковь, Шпинат"
Курица с брокколи в аэрогриле,Ужин,approved,,"Курица, Брокколи, Оливковое масло, Паприка, Чеснок"
Индейка с кабачком в аэрогриле,Ужин,approved,,"Индейка, Кабачок, Оливковое масло, Паприка"
Лосось с брокколи в аэрогриле,Ужин,approved,,"Лосось свежий, Брокколи, Лимон, Оливковое масло"
Треска с кабачком в аэрогриле,Ужин,approved,,"Треска, Кабачок, Лимон, Оливковое масло"
Креветки с перцем в аэрогриле,Ужин,approved,,"Креветки сырые, Перец, Оливковое масло, Чеснок"
Тофу с брокколи в аэрогриле,Ужин,approved,,"Тофу, Брокколи, Соевый соус, Оливковое масло"
Курица с бататом в аэрогриле,Ужин,approved,,"Курица, Батат, Оливковое масло, Паприка"
Индейка с цветной капустой в аэрогриле,Ужин,approved,,"Индейка, Цветная капуста, Оливковое масло"
Форель с кабачком в аэрогриле,Ужин,approved,,"Форель, Кабачок, Лимон, Оливковое масло"
Тофу с бататом в аэрогриле,Ужин,approved,,"Тофу, Батат, Соевый соус, Оливковое масло"
Креветки с брокколи в аэрогриле,Ужин,approved,,"Креветки сырые, Брокколи, Оливковое масло, Лимон"
Курица с цветной капустой в аэрогриле,Ужин,approved,,"Курица, Цветная капуста, Оливковое масло, Паприка"
